date,amount,category,description,type
2024-04-01,-463.83,Groceries,Weekly shopping,Expense
2024-04-02,-368.14,Dining,Lunch out,Expense
2024-04-02,-292.08,Groceries,Supermarket,Expense
2024-04-03,-412.08,Dining,Coffee shop,Expense
2024-04-03,-373.26,Groceries,Fresh vegetables,Expense
2024-04-03,-321.08,Dining,Lunch out,Expense
2024-04-04,-216.32,Transport,Bus pass,Expense
2024-04-05,-220.51,Transport,Metro ticket,Expense
2024-04-05,-297.7,Groceries,Supermarket,Expense
2024-04-06,-411.56,Entertainment,Streaming,Expense
2024-04-06,-758.23,Shopping,Books,Expense
2024-04-08,-15000.0,Rent,Monthly rent payment,Expense
2024-04-08,-198.54,Transport,Auto rickshaw,Expense
2024-04-08,-385.23,Groceries,Fresh vegetables,Expense
2024-04-11,-202.49,Transport,Fuel,Expense
2024-04-12,-121.37,Transport,Fuel,Expense
2024-04-12,-1191.93,Shopping,Electronics,Expense
2024-04-13,-254.2,Dining,Coffee shop,Expense
2024-04-13,-236.49,Transport,Bus pass,Expense
2024-04-13,-645.17,Healthcare,Medicines,Expense
2024-04-15,-417.67,Dining,Coffee shop,Expense
2024-04-18,-382.86,Entertainment,Concert,Expense
2024-04-18,-363.55,Dining,Restaurant dinner,Expense
2024-04-18,-273.47,Utilities,Electricity bill,Expense
2024-04-19,-368.05,Dining,Lunch out,Expense
2024-04-19,-198.63,Transport,Fuel,Expense
2024-04-19,-473.41,Groceries,Organic store,Expense
2024-04-20,-189.03,Transport,Fuel,Expense
2024-04-20,-326.15,Entertainment,Concert,Expense
2024-04-21,-400.33,Groceries,Supermarket,Expense
2024-04-22,-1065.64,Shopping,Books,Expense
2024-04-22,4280.16,Freelance,Consulting work,Income
2024-04-22,-473.42,Groceries,Supermarket,Expense
2024-04-23,50000.0,Salary,Monthly salary,Income
2024-04-23,-343.34,Dining,Restaurant dinner,Expense
2024-04-23,-158.3,Transport,Auto rickshaw,Expense
2024-04-23,-380.31,Entertainment,Movie tickets,Expense
2024-04-23,-249.0,Transport,Auto rickshaw,Expense
2024-04-24,-236.99,Transport,Auto rickshaw,Expense
2024-04-25,-256.53,Transport,Metro ticket,Expense
2024-04-25,-171.82,Dining,Coffee shop,Expense
2024-04-25,-167.43,Transport,Fuel,Expense
2024-04-26,-177.3,Transport,Bus pass,Expense
2024-04-26,-170.32,Transport,Bus pass,Expense
2024-04-27,-289.94,Dining,Coffee shop,Expense
2024-04-27,4539.36,Freelance,Project payment,Income
2024-04-28,-404.62,Dining,Restaurant dinner,Expense
2024-04-30,-311.13,Dining,Food delivery,Expense
2024-04-30,-821.78,Healthcare,Dental checkup,Expense
2024-05-03,-585.44,Healthcare,Dental checkup,Expense
2024-05-03,-417.59,Groceries,Fresh vegetables,Expense
2024-05-03,-187.43,Transport,Bus pass,Expense
2024-05-04,-308.46,Entertainment,Gaming,Expense
2024-05-04,-194.83,Dining,Coffee shop,Expense
2024-05-05,-291.43,Dining,Coffee shop,Expense
2024-05-05,-227.85,Transport,Metro ticket,Expense
2024-05-05,-15000.0,Rent,Monthly rent payment,Expense
2024-05-05,-199.17,Transport,Auto rickshaw,Expense
2024-05-05,4297.95,Freelance,Consulting work,Income
2024-05-05,-346.9,Groceries,Weekly shopping,Expense
2024-05-07,-517.69,Groceries,Organic store,Expense
2024-05-08,-348.67,Entertainment,Movie tickets,Expense
2024-05-08,-452.98,Entertainment,Movie tickets,Expense
2024-05-08,-344.29,Groceries,Supermarket,Expense
2024-05-12,-140.98,Transport,Metro ticket,Expense
2024-05-13,-626.3,Groceries,Weekly shopping,Expense
2024-05-13,-388.83,Groceries,Organic store,Expense
2024-05-13,-182.88,Transport,Auto rickshaw,Expense
2024-05-14,-529.58,Dining,Lunch out,Expense
2024-05-15,-254.25,Dining,Restaurant dinner,Expense
2024-05-16,-900.35,Shopping,Clothing,Expense
2024-05-16,-454.7,Healthcare,Doctor visit,Expense
2024-05-17,-343.92,Dining,Lunch out,Expense
2024-05-17,-312.66,Dining,Restaurant dinner,Expense
2024-05-17,-165.53,Transport,Fuel,Expense
2024-05-18,-205.8,Transport,Bus pass,Expense
2024-05-18,-213.57,Transport,Fuel,Expense
2024-05-18,-903.65,Shopping,Clothing,Expense
2024-05-20,-139.86,Transport,Auto rickshaw,Expense
2024-05-20,-125.75,Transport,Bus pass,Expense
2024-05-20,-961.7,Shopping,Books,Expense
2024-05-22,-165.54,Transport,Bus pass,Expense
